pointid,grid_code,POINT_X,POINT_Y,z1pt0,z2pt5
"67306",1000.0000000000,177.1226549500,-38.5892368380,8.266183243909415,0.443316179892164
"67307",1000.0000000000,177.1326549500,-38.5892368380,8.266183243909415,0.443316179892164
"67673",1000.0000000000,177.1126549500,-38.5992368380,8.266183243909415,0.443316179892164
"67674",1000.0000000000,177.1226549500,-38.5992368380,8.266183243909415,0.443316179892164
"67675",1000.0000000000,177.1326549500,-38.5992368380,8.266183243909415,0.443316179892164
"67676",1000.0000000000,177.1426549500,-38.5992368380,8.266183243909415,0.443316179892164
"67677",1000.0000000000,177.1526549500,-38.5992368380,8.266183243909415,0.443316179892164
"67693",1000.0000000000,177.3126549500,-38.5992368380,8.266183243909415,0.443316179892164
"68040",1000.0000000000,177.1126549500,-38.6092368380,8.266183243909415,0.443316179892164
"68041",1000.0000000000,177.1226549500,-38.6092368380,8.266183243909415,0.443316179892164
"68042",1000.0000000000,177.1326549500,-38.6092368380,8.266183243909415,0.443316179892164
"68043",1000.0000000000,177.1426549500,-38.6092368380,8.266183243909415,0.443316179892164
"68044",1000.0000000000,177.1526549500,-38.6092368380,8.266183243909415,0.443316179892164
"68045",1000.0000000000,177.1626549500,-38.6092368380,8.266183243909415,0.443316179892164
"68046",1000.0000000000,177.1726549500,-38.6092368380,8.266183243909415,0.443316179892164
"68047",1000.0000000000,177.1826549500,-38.6092368380,8.266183243909415,0.443316179892164
"68060",1000.0000000000,177.3126549500,-38.6092368380,8.266183243909415,0.443316179892164
"68061",1000.0000000000,177.3226549500,-38.6092368380,8.266183243909415,0.443316179892164
"68400",1000.0000000000,177.0726549500,-38.6192368380,8.266183243909415,0.443316179892164
"68401",1000.0000000000,177.0826549500,-38.6192368380,8.266183243909415,0.443316179892164
"68402",1000.0000000000,177.0926549500,-38.6192368380,8.266183243909415,0.443316179892164
"68403",1000.0000000000,177.1026549500,-38.6192368380,8.266183243909415,0.443316179892164
"68404",1000.0000000000,177.1126549500,-38.6192368380,8.266183243909415,0.443316179892164
"68405",1000.0000000000,177.1226549500,-38.6192368380,8.266183243909415,0.443316179892164
"68406",996.1660000000,177.1326549500,-38.6192368380,8.388322929356498,0.445268631144071
"68407",960.0970000000,177.1426549500,-38.6192368380,9.656673171733901,0.464456551530043
"68408",962.9840000000,177.1526549500,-38.6192368380,9.546612458438343,0.462863957821889
"68409",985.1520000000,177.1626549500,-38.6192368380,8.752084285822871,0.450968151305091
"68410",977.7160000000,177.1726549500,-38.6192368380,9.008969283103186,0.454894020209971
"68411",986.5140000000,177.1826549500,-38.6192368380,8.706037658592338,0.450255950334906
"68412",999.8130000000,177.1926549500,-38.6192368380,8.272088270643341,0.443411036651176
"68413",1000.0000000000,177.2026549500,-38.6192368380,8.266183243909415,0.443316179892164
"68424",903.0430000000,177.3126549500,-38.6192368380,12.200798794162587,0.498176385955163
"68425",1000.0000000000,177.3226549500,-38.6192368380,8.266183243909415,0.443316179892164
"68426",1000.0000000000,177.3326549500,-38.6192368380,8.266183243909415,0.443316179892164
"68427",1000.0000000000,177.3426549500,-38.6192368380,8.266183243909415,0.443316179892164
"68761",1000.0000000000,177.0426549500,-38.6292368380,8.266183243909415,0.443316179892164
"68762",1000.0000000000,177.0526549500,-38.6292368380,8.266183243909415,0.443316179892164
"68763",996.4860000000,177.0626549500,-38.6292368380,8.378042018789722,0.445105056170323
"68764",967.9470000000,177.0726549500,-38.6292368380,9.361078640747065,0.460149947511292
"68765",956.4420000000,177.0826549500,-38.6292368380,9.798317324087439,0.466487594948209
"68766",1000.0000000000,177.0926549500,-38.6292368380,8.266183243909415,0.443316179892164
"68767",1000.0000000000,177.1026549500,-38.6292368380,8.266183243909415,0.443316179892164
"68768",1000.0000000000,177.1126549500,-38.6292368380,8.266183243909415,0.443316179892164
"68769",1000.0000000000,177.1226549500,-38.6292368380,8.266183243909415,0.443316179892164
"68770",995.0910000000,177.1326549500,-38.6292368380,8.422977060012963,0.445818966683350
"68771",869.0720000000,177.1426549500,-38.6292368380,14.123110024627374,0.520515654137465
"68772",785.0180000000,177.1526549500,-38.6292368380,20.813506059807587,0.584751443649179
"68773",764.1820000000,177.1626549500,-38.6292368380,23.058338443052897,0.603026556911827
"68774",724.1410000000,177.1726549500,-38.6292368380,28.295109371313160,0.641321667359895
"68775",803.7910000000,177.1826549500,-38.6292368380,19.021426408087638,0.569154050662850
"68776",986.2480000000,177.1926549500,-38.6292368380,8.715006564850858,0.450394878218360
"68777",1000.0000000000,177.2026549500,-38.6292368380,8.266183243909415,0.443316179892164
"68778",1000.0000000000,177.2126549500,-38.6292368380,8.266183243909415,0.443316179892164
"68779",1000.0000000000,177.2226549500,-38.6292368380,8.266183243909415,0.443316179892164
"68780",1000.0000000000,177.2326549500,-38.6292368380,8.266183243909415,0.443316179892164
"68788",734.8940000000,177.3126549500,-38.6292368380,26.753818572619899,0.630597904963453
"68789",1000.0000000000,177.3226549500,-38.6292368380,8.266183243909415,0.443316179892164
"68790",1000.0000000000,177.3326549500,-38.6292368380,8.266183243909415,0.443316179892164
"68791",999.9800000000,177.3426549500,-38.6292368380,8.266814543665564,0.443326323183832
"68792",990.6950000000,177.3526549500,-38.6292368380,8.566581073745924,0.448082781150920
"68793",996.9730000000,177.3626549500,-38.6292368380,8.362426229255288,0.444856331513859
"68794",993.5840000000,177.3726549500,-38.6292368380,8.471861822926179,0.446592609740222
"68795",994.1380000000,177.3826549500,-38.6292368380,8.453849434326097,0.446307912525584
