Lon,Lat,Vs30,Z2.5,Z1.0
177.122655,-38.58923684,1000,0.44331618,8.266183244
177.132655,-38.58923684,1000,0.44331618,8.266183244
177.112655,-38.59923684,1000,0.44331618,8.266183244
177.122655,-38.59923684,1000,0.44331618,8.266183244
177.132655,-38.59923684,1000,0.44331618,8.266183244
177.142655,-38.59923684,1000,0.44331618,8.266183244
177.152655,-38.59923684,1000,0.44331618,8.266183244
177.312655,-38.59923684,1000,0.44331618,8.266183244
177.112655,-38.60923684,1000,0.44331618,8.266183244
177.122655,-38.60923684,1000,0.44331618,8.266183244
177.132655,-38.60923684,1000,0.44331618,8.266183244
177.142655,-38.60923684,1000,0.44331618,8.266183244
177.152655,-38.60923684,1000,0.44331618,8.266183244
177.162655,-38.60923684,1000,0.44331618,8.266183244
177.172655,-38.60923684,1000,0.44331618,8.266183244
177.182655,-38.60923684,1000,0.44331618,8.266183244
177.312655,-38.60923684,1000,0.44331618,8.266183244
177.322655,-38.60923684,1000,0.44331618,8.266183244
177.072655,-38.61923684,1000,0.44331618,8.266183244
177.082655,-38.61923684,1000,0.44331618,8.266183244
177.092655,-38.61923684,1000,0.44331618,8.266183244
177.102655,-38.61923684,1000,0.44331618,8.266183244
177.112655,-38.61923684,1000,0.44331618,8.266183244
177.122655,-38.61923684,1000,0.44331618,8.266183244
177.132655,-38.61923684,996.166,0.445268631,8.388322929
177.142655,-38.61923684,960.097,0.464456552,9.656673172
177.152655,-38.61923684,962.984,0.462863958,9.546612458
177.162655,-38.61923684,985.152,0.450968151,8.752084286
177.172655,-38.61923684,977.716,0.45489402,9.008969283
177.182655,-38.61923684,986.514,0.45025595,8.706037659
177.192655,-38.61923684,999.813,0.443411037,8.272088271
177.202655,-38.61923684,1000,0.44331618,8.266183244
177.312655,-38.61923684,903.043,0.498176386,12.20079879
177.322655,-38.61923684,1000,0.44331618,8.266183244
177.332655,-38.61923684,1000,0.44331618,8.266183244
177.342655,-38.61923684,1000,0.44331618,8.266183244
177.042655,-38.62923684,1000,0.44331618,8.266183244
177.052655,-38.62923684,1000,0.44331618,8.266183244
177.062655,-38.62923684,996.486,0.445105056,8.378042019
177.072655,-38.62923684,967.947,0.460149948,9.361078641
177.082655,-38.62923684,956.442,0.466487595,9.798317324
177.092655,-38.62923684,1000,0.44331618,8.266183244
177.102655,-38.62923684,1000,0.44331618,8.266183244
177.112655,-38.62923684,1000,0.44331618,8.266183244
177.122655,-38.62923684,1000,0.44331618,8.266183244
177.132655,-38.62923684,995.091,0.445818967,8.42297706
177.142655,-38.62923684,869.072,0.520515654,14.12311002
177.152655,-38.62923684,785.018,0.584751444,20.81350606
177.162655,-38.62923684,764.182,0.603026557,23.05833844
177.172655,-38.62923684,724.141,0.641321667,28.29510937
177.182655,-38.62923684,803.791,0.569154051,19.02142641
177.192655,-38.62923684,986.248,0.450394878,8.715006565
177.202655,-38.62923684,1000,0.44331618,8.266183244
177.212655,-38.62923684,1000,0.44331618,8.266183244
177.222655,-38.62923684,1000,0.44331618,8.266183244
177.232655,-38.62923684,1000,0.44331618,8.266183244
177.312655,-38.62923684,734.894,0.630597905,26.75381857
177.322655,-38.62923684,1000,0.44331618,8.266183244
177.332655,-38.62923684,1000,0.44331618,8.266183244
177.342655,-38.62923684,999.98,0.443326323,8.266814544
177.352655,-38.62923684,990.695,0.448082781,8.566581074
177.362655,-38.62923684,996.973,0.444856332,8.362426229
177.372655,-38.62923684,993.584,0.44659261,8.471861823
177.382655,-38.62923684,994.138,0.446307913,8.453849434
177.392655,-38.62923684,1000,0.44331618,8.266183244
177.402655,-38.62923684,993.544,0.446613179,8.473164229
177.032655,-38.63923684,1000,0.44331618,8.266183244
